Medication_Name,Package_Size, Manufacturing_Cost , Max_Retailer_Price , Max_Consumer_Price , Max_Consumer_VAT_Price ,Year
ELATROL 25MG 50TAB,50, $1.02 , $2.56 , $3.50 , $4.10 ,2021
ELATROLET 10MG 30TAB,30, $0.91 , $2.27 , $3.11 , $3.64 ,2021
ELETRIPTAN - TRIMA 40 MG 10 TAB,10, $21.06 , $52.66 , $65.83 , $77.02 ,2021
ELETRIPTAN - TRIMA 40 MG 3 TAB,3, $6.32 , $15.80 , $21.25 , $24.86 ,2021
ELIDEL CREAM 1% 15G,15, $5.11 , $12.78 , $17.19 , $20.11 ,2021
ELIDEL CREAM 1% 30G,30, $10.22 , $25.56 , $34.38 , $40.23 ,2021
ELIGARD 22.5 MG 1 PREFILLED SYR,1, $92.70 , $231.75 , $272.30 , $318.59 ,2021
ELIGARD 45 MG 1 PREFILLED SYR,1, $200.61 , $501.53 , $589.29 , $689.48 ,2021
ELIGARD 7.5 MG SYR PREFILLED,1, $38.35 , $95.87 , $112.65 , $131.80 ,2021
ELIQUIS 2.5MG 60 F.C.TAB,60, $28.11 , $70.28 , $82.58 , $96.62 ,2021
ELIQUIS 5 MG 60 F.C.TAB,60, $27.97 , $69.93 , $82.17 , $96.14 ,2021
ELOCOM CREAM 15GR,15, $0.85 , $2.13 , $2.92 , $3.42 ,2021
ELOCOM LOTION 20ML,20, $1.32 , $3.29 , $4.51 , $5.27 ,2021
ELOCOM OINT 15GR,15, $0.94 , $2.35 , $3.22 , $3.77 ,2021
ELONVA 100MCG/0.5ML 1SYRINGE PREFILLED,1, $216.69 , $541.72 , $636.52 , $744.72 ,2021
ELONVA 150MCG/0.5ML 1 SYRINGE PREFILLED,1, $226.78 , $566.95 , $623.65 , $729.66 ,2021
ELOXATIN 100MG IV SOL FOR INF VIAL 20ML,1, $88.60 , $221.51 , $260.27 , $304.52 ,2021
ELOXATIN 200MG 5MG/ML VIAL 40ML,1, $166.80 , $417.01 , $489.99 , $573.29 ,2021
ELOXATIN 50MG IV SOL FOR INF VIAL 10ML,1, $44.49 , $111.23 , $130.70 , $152.92 ,2021
ELTROXIN 100MCG 100T,100, $2.44 , $6.10 , $8.35 , $9.77 ,2021
ELTROXIN 50MCG 100T,100, $1.90 , $4.74 , $6.49 , $7.60 ,2021
EMBESIN 40 iu/2 ml 10 AMP,10, $450.58 ," $1,126.44 "," $1,239.09 "," $1,449.73 ",2021
EMEND 1X125MG+2X80MG CAPS,3, $14.86 , $37.14 , $46.42 , $54.32 ,2021
EMGALITY 120 MG 1 PEN,1, $211.28 , $528.21 , $620.65 , $726.15 ,2021
EMILY 21TAB,21, $1.77 , $4.42 , $6.05 , $7.08 ,2021
EMILY 3X21TAB,63, $5.30 , $13.25 , $17.82 , $20.85 ,2021
EMPLICITI 300 MG VIAL,1, $538.95 ," $1,347.38 "," $1,482.12 "," $1,734.08 ",2021
EMPLICITI 400 MG VIAL,1, $718.44 ," $1,796.10 "," $1,975.71 "," $2,311.58 ",2021
EMTRIVIR TEVA 200/245MG 30 F.C.TAB,30, $197.05 , $492.62 , $578.82 , $677.22 ,2021
ENALADEX 10MG 30TAB,30, $1.17 , $2.93 , $4.02 , $4.70 ,2021
ENALADEX 20MG 30TAB,30, $1.45 , $3.63 , $4.97 , $5.82 ,2021
ENALADEX 5MG 30TAB,30, $1.12 , $2.80 , $3.84 , $4.49 ,2021
ENALAPRIL 10MG 30TAB,30, $1.17 , $2.93 , $4.02 , $4.70 ,2021
ENALAPRIL 20MG 30TAB,30, $1.45 , $3.63 , $4.97 , $5.82 ,2021
ENALAPRIL 5MG 30TAB,30, $1.12 , $2.80 , $3.84 , $4.49 ,2021
ENBREL  25MG/VIAL 4VIALS,4, $143.90 , $359.75 , $422.70 , $494.56 ,2021
ENBREL 25MG/DOSE 4 PRE-FILLED SYR,4, $143.90 , $359.75 , $422.70 , $494.56 ,2021
ENBREL 50MG 4 PREFIL.SYR,4, $269.84 , $674.60 , $742.06 , $868.21 ,2021
ENBREL 50MG SOL FOR INJ 4X1ML PREFILLED PEN MYCLIC,4, $269.84 , $674.60 , $742.06 , $868.21 ,2021
ENDOMETRIN 100MG 30 VAG.TAB,30, $17.67 , $44.17 , $55.21 , $64.59 ,2021
ENDOMETRIN 100MG 45 VAG.TAB,45, $26.50 , $66.25 , $77.84 , $91.08 ,2021
ENDOXAN 1G/50ML 1INJ,1, $5.63 , $14.07 , $18.93 , $22.14 ,2021
ENDOXAN 500MG/25ML 1INJ,1, $3.94 , $9.85 , $13.50 , $15.80 ,2021
ENGERIX B 20MCG/ML ADULT VIAL,1, $6.44 , $16.10 , $21.66 , $25.34 ,2021
ENGERIX B PEDIATRIC,1, $3.79 , $9.48 , $12.98 , $15.19 ,2021
ENSTILAR  60 GR  FOAM,60, $20.65 , $51.62 , $64.52 , $75.49 ,2021
ENTACAPONE MEDOCHEMIE 200mg 30tab,30, $5.63 , $14.07 , $18.92 , $22.14 ,2021
ENTECAVIR S.K. 0.5 MG 30 TAB,30, $203.43 , $508.56 , $597.56 , $699.15 ,2021
ENTECAVIR S.K. 1 MG 30 TAB,30, $217.94 , $544.85 , $599.33 , $701.22 ,2021
ENTECAVIR TEVA 0.5 MG 30 F.C.TAB,30, $203.43 , $508.56 , $597.56 , $699.15 ,2021
ENTECAVIR TEVA 1 MG 30 F.C.TAB,30, $217.94 , $544.85 , $599.33 , $701.22 ,2021
ENTRESTO 100 MG 56 F.C.TAB,56, $53.10 , $132.76 , $155.99 , $182.51 ,2021
ENTRESTO 200 MG 56F.C.TAB,56, $53.10 , $132.75 , $155.99 , $182.50 ,2021
ENTRESTO 50 MG 28 F.C.TAB,28, $25.87 , $64.69 , $76.01 , $88.93 ,2021
ENTUMIN 40MG 30TAB,30, $1.73 , $4.32 , $5.92 , $6.93 ,2021
ENTYVIO 300 MG/VIAL,1," $1,016.01 "," $2,540.02 "," $2,794.02 "," $3,269.01 ",2021
EPANUTIN 100MG 100CAPS,100, $1.50 , $3.75 , $5.14 , $6.02 ,2021
EPCLUSA 28 TAB,28," $3,986.28 "," $9,965.71 "," $10,962.28 "," $12,825.86 ",2021
EPHEDRIN SINTETICA 50 MG/ML  10 VIAL,10, $7.44 , $18.59 , $25.01 , $29.26 ,2021
EPHEDRINE HCL STEROP 50 MG/1 ML 100 AMP,100, $74.37 , $185.92 , $218.45 , $255.59 ,2021
EPIDUO GEL PUMP 30 GR,30, $7.79 , $19.48 , $26.20 , $30.65 ,2021
EPINEPHRINE  INJECTION MYLAN JR 0.15 MG 1 syr,1, $22.97 , $57.42 , $71.78 , $83.98 ,2021
EPINEPHRINE INJECTION MYLAN 0.3 MG,2, $45.94 , $114.84 , $134.94 , $157.88 ,2021
EPINEPHRINE INJECTION MYLAN 0.3 MG 1 syr,1, $22.97 , $57.42 , $71.78 , $83.98 ,2021
EPINEPHRINE INJECTION MYLAN JR 0.15 MG,2, $45.94 , $114.84 , $134.94 , $157.88 ,2021
EPIPEN 0.3MG/0.3ML AUTO-INJECTOR 2ML,1, $22.97 , $57.42 , $71.78 , $83.98 ,2021
EPIPEN 0.3MG/0.3ML AUTO-INJECTOR 2X2ML כולל מזרק תרגול,2, $45.94 , $114.84 , $134.94 , $157.88 ,2021
EPIPEN JR. 0.15MG/0.3ML AUTO-INJECTOR 2ML,1, $22.97 , $57.42 , $71.78 , $83.98 ,2021
EPIPEN JR. 0.15MG/0.3ML AUTO-INJECTOR 2X2ML כולל מזרק תרגול,2, $45.94 , $114.84 , $134.94 , $157.88 ,2021
EPIRUBICIN INOVAMED 2MG/ML VIAL 50MG/25ML,1, $23.13 , $57.82 , $72.28 , $84.57 ,2021
EPIVIR 150MG 60TAB,60, $29.84 , $74.60 , $87.65 , $102.56 ,2021
EPIVIR 300MG 30TAB,30, $29.84 , $74.60 , $87.66 , $102.56 ,2021
EPIVIR ORAL SOL 240ML,240, $9.53 , $23.82 , $32.04 , $37.49 ,2021
EPREX/PROTECS 10000 IU/1ML 6 SYRINGES,6, $211.52 , $528.79 , $621.33 , $726.96 ,2021
EPREX/PROTECS 1000IU/0.5ML 6 SYRINGES,6, $21.07 , $52.67 , $65.84 , $77.03 ,2021
EPREX/PROTECS 2000 IU/0.5ML 6 SYRINGES,6, $43.54 , $108.86 , $127.91 , $149.66 ,2021
EPREX/PROTECS 20000 IU/0.5ML 1SYRINGE,1, $63.43 , $158.57 , $186.32 , $217.99 ,2021
EPREX/PROTECS 30000 IU/0.75ML 1SYRINGE,1, $87.34 , $218.35 , $256.56 , $300.18 ,2021
EPREX/PROTECS 3000IU/0.3ML 6 SYRINGES,6, $63.46 , $158.64 , $186.40 , $218.09 ,2021
EPREX/PROTECS 40000 IU/ML 1 SYRINGE,1, $116.19 , $290.47 , $341.30 , $399.33 ,2021
EPREX/PROTECS 4000IU/0.4ML 6 SYRINGES,6, $83.42 , $208.56 , $245.05 , $286.71 ,2021
EPREX/PROTECS 5000IU/0.5ML 6SYRINGES,6, $104.03 , $260.08 , $305.60 , $357.55 ,2021
EPREX/PROTECS 6000 IU/0.6ML 6SYRINGES,6, $124.64 , $311.59 , $366.12 , $428.36 ,2021
EPREX/PROTECS 8000 IU/0.8ML 6SYRINGES,6, $165.85 , $414.63 , $487.19 , $570.02 ,2021
ERAXIS 100MG 30ML VIAL LYOPHILIZED POWDER FOR INJ.,1, $110.94 , $277.35 , $325.89 , $381.29 ,2021
ERBITUX 5MG/ML 100ML,100, $388.70 , $971.74 ," $1,068.91 "," $1,250.63 ",2021
ERBITUX 5MG/ML 20ML,20, $77.74 , $194.35 , $228.36 , $267.18 ,2021
ERDOTIN 300MG 20CAPS,20, $3.71 , $9.28 , $12.72 , $14.88 ,2021
ERELZI 25 MG/0.5 ML 4 PREFILLED SYR,4, $143.90 , $359.75 , $422.70 , $494.56 ,2021
ERELZI 50 MG/1 ML 4 PREFILLED SYR,4, $269.84 , $674.60 , $742.06 , $868.21 ,2021
ERELZI 50 MG/1ML 4 PRE FILLED PEN,4, $269.84 , $674.60 , $742.06 , $868.21 ,2021
ERIVEDGE 150MG 28 CAPSULES,28," $2,117.04 "," $5,292.59 "," $5,821.85 "," $6,811.56 ",2021
ERLEADA 60MG  120 TAB,120," $1,525.28 "," $3,813.21 "," $4,194.53 "," $4,907.60 ",2021
ERYTHROCIN LACTOBIONATE I.V. VIAL 1G/VIAL 20ML,1, $4.18 , $10.46 , $14.32 , $16.76 ,2021
ERYTHROTEVA 250MG10TAB,10, $0.60 , $1.49 , $2.04 , $2.39 ,2021
ERYTHROTEVA 500MG10TAB,10, $1.37 , $3.42 , $4.68 , $5.47 ,2021
ESBRIET 267 MG 90 TABLETS,90, $393.27 , $983.18 ," $1,081.49 "," $1,265.35 ",2021
ESBRIET 267MG 270CAPS,270," $1,024.88 "," $2,562.21 "," $2,818.43 "," $3,297.56 ",2021
ESBRIET 801 MG 90  COATED TAB,90," $1,120.99 "," $2,802.47 "," $3,082.72 "," $3,606.78 ",2021
ESCITALOPRAM TEVA 10MG 30TAB,30, $3.10 , $7.75 , $10.62 , $12.43 ,2021
ESCITALOPRAM TEVA 20MG 30TAB,30, $4.60 , $11.50 , $15.75 , $18.43 ,2021
ESKAZOLE 400MG 60TAB,60, $69.54 , $173.84 , $204.27 , $238.99 ,2021
ESMERON 10MG/ML 5ML 10 VIAL,10, $15.39 , $38.49 , $48.11 , $56.29 ,2021
ESMOLOL 10MG/ML (100MG/10ML) 5 VIALX10ML,5, $23.21 , $58.01 , $72.52 , $84.84 ,2021
ESMYA 5 MG 28TAB,28, $51.60 , $129.01 , $151.59 , $177.36 ,2021
ESOMEPRAZOLE INOVAMED 20 MG 30 tab,30, $2.31 , $5.78 , $7.92 , $9.27 ,2021
ESOMEPRAZOLE INOVAMED 40 MG 30 tab,30, $3.54 , $8.84 , $12.12 , $14.18 ,2021
ESOPRIM S.K 20 MG 28 tab,28, $2.16 , $5.40 , $7.40 , $8.65 ,2021
ESOPRIM S.K 40 MG 28 tab,28, $3.30 , $8.26 , $11.31 , $13.23 ,2021
ESRACAIN 1% 50AMP/10ML,50, $19.87 , $49.68 , $62.10 , $72.65 ,2021
ESRACAIN INJECTION 2% 50AMP/10ML,50, $19.69 , $49.23 , $61.53 , $71.99 ,2021
ESTELLE 35 21TAB,21, $1.70 , $4.25 , $5.82 , $6.80 ,2021
ESTELLE 35 21X3TAB,63, $5.09 , $12.74 , $17.13 , $20.04 ,2021
ESTO 10 28TAB,28, $2.89 , $7.24 , $9.91 , $11.60 ,2021
ESTO 15MG  28 F.C.TAB,28, $2.64 , $6.59 , $9.03 , $10.56 ,2021
ESTO 20 28TAB,28, $4.29 , $10.73 , $14.70 , $17.20 ,2021
ESTROFEM 1MG 28TAB,28, $1.75 , $4.37 , $5.99 , $7.01 ,2021
ESTROFEM 2MG 28TAB,28, $1.58 , $3.94 , $5.40 , $6.32 ,2021
ETODOLAC ER TEVA 600MG 20TAB,20, $6.31 , $15.77 , $21.21 , $24.81 ,2021
ETOMIDATE-LIPURO 20 MG/10 ML 10 AMP,10, $8.72 , $21.79 , $29.31 , $34.29 ,2021
ETOPA XL 600MG 20 SR TAB,20, $6.31 , $15.77 , $21.21 , $24.81 ,2021
ETOPAN 300MG 30CAPS,30, $2.43 , $6.06 , $8.31 , $9.72 ,2021
"ETOPOSID ""EBEWE"" 20MG/ML VIAL 50ML (1000MG)",50, $27.89 , $69.72 , $81.92 , $95.84 ,2021
ETOPOSIDE 20MG/ML 50ML (1000MG),50, $27.89 , $69.72 , $81.92 , $95.84 ,2021
ETOPOSIDE VIAL 100MG/5 ML,5, $3.35 , $8.37 , $11.47 , $13.42 ,2021
ETOPOSIDE VIAL 200MG/10 ML,10, $6.70 , $16.74 , $22.52 , $26.34 ,2021
Etoricoxib Dexcel 120 mg 7 tabs,7, $2.79 , $6.97 , $9.55 , $11.17 ,2021
Etoricoxib Dexcel 30 mg 28 tabs,28, $3.88 , $9.71 , $13.30 , $15.56 ,2021
Etoricoxib Dexcel 60 mg 14 tabs,14, $2.51 , $6.27 , $8.60 , $10.06 ,2021
Etoricoxib Dexcel 90 mg 14 tabs,14, $3.46 , $8.66 , $11.87 , $13.88 ,2021
ETORICOXIB TARO 120MG 7TABS,7, $2.79 , $6.97 , $9.55 , $11.17 ,2021
ETORICOXIB TARO 30MG  28TABS,28, $3.88 , $9.71 , $13.30 , $15.56 ,2021
ETORICOXIB TARO 60MG 14TAB,14, $2.51 , $6.27 , $8.60 , $10.06 ,2021
ETORICOXIB TARO 90MG  14TAB,14, $3.46 , $8.66 , $11.87 , $13.88 ,2021
ETORICOXIB TRIMA 120MG 7TABS,7, $2.79 , $6.97 , $9.55 , $11.17 ,2021
ETORICOXIB TRIMA 30MG 28TAB,28, $3.88 , $9.71 , $13.30 , $15.56 ,2021
ETORICOXIB TRIMA 60MG 14TABS,14, $2.51 , $6.27 , $8.60 , $10.06 ,2021
ETORICOXIB TRIMA 90MG 14TABS,14, $3.46 , $8.66 , $11.87 , $13.88 ,2021
EUCREAS 50/1000MG 60 FC TAB,60, $11.47 , $28.67 , $38.56 , $45.12 ,2021
EUCREAS 50/850MG 60 FC TAB,60, $13.83 , $34.56 , $43.20 , $50.55 ,2021
EUTHYROX 100MCG 100TAB,100, $2.44 , $6.10 , $8.35 , $9.77 ,2021
EUTHYROX 50MCG 100TAB,100, $1.90 , $4.74 , $6.49 , $7.60 ,2021
EVENITY 105 MG/1.17ML 2 PREFILLED SYR,2, $307.57 , $768.93 , $845.83 , $989.62 ,2021
EVICEL HUMAN SURGICAL SEALANT 2X1ML (ללא אפליקטור),2, $54.04 , $135.11 , $158.75 , $185.74 ,2021
EVICEL HUMAN SURGICAL SEALANT 2X2ML (ללא אפליקטור),2, $89.74 , $224.36 , $263.62 , $308.44 ,2021
EVICEL HUMAN SURGICAL SEALANT 2X5ML (ללא אפליקטור),2, $270.12 , $675.30 , $742.83 , $869.11 ,2021
EVIPLERA 30 F.C.TAB,30, $282.98 , $707.46 , $778.20 , $910.50 ,2021
EVISTA 60MG 28TAB,28, $6.39 , $15.97 , $21.48 , $25.13 ,2021
EVOLTRA 1MG/ML 20ML VIAL,1, $560.32 ," $1,400.81 "," $1,540.89 "," $1,802.84 ",2021
EVOREL 50 8PATCH,8, $2.62 , $6.54 , $8.96 , $10.48 ,2021
EVOREL CONTI  8 PATCH,8, $6.80 , $17.00 , $22.86 , $26.75 ,2021
EVRA 3 PATCHES,3, $3.92 , $9.81 , $13.44 , $15.72 ,2021
EVRA 9 PATCHES,9, $11.77 , $29.42 , $36.78 , $43.03 ,2021
EXELON 1.5MG 28CAPS,28, $5.54 , $13.84 , $18.61 , $21.78 ,2021
EXELON 3MG 28CAPS,28, $8.43 , $21.08 , $28.36 , $33.18 ,2021
EXELON 4.5MG 28CAPS,28, $9.24 , $23.10 , $31.07 , $36.35 ,2021
EXELON 6MG 28CAPS,28, $9.22 , $23.04 , $30.99 , $36.26 ,2021
EXELON PATCH 10 30 PATCH,30, $20.54 , $51.34 , $64.18 , $75.09 ,2021
EXELON PATCH 15MG 30PATCHES,30, $32.32 , $80.80 , $94.95 , $111.09 ,2021
EXELON PATCH 5 30 PATCH,30, $17.67 , $44.16 , $55.21 , $64.59 ,2021
EXEMASIN - VIT 30 TAB,30, $17.47 , $43.67 , $54.59 , $63.87 ,2021
EXEMESTANE INOVAMED 25MG 30 F.C.TAB,30, $26.93 , $67.33 , $79.11 , $92.56 ,2021
EXEMESTANE TEVA 25MG 30TAB,30, $26.93 , $67.33 , $79.11 , $92.56 ,2021
EXFORGE 10MG/160MG 28TAB,28, $9.33 , $23.34 , $31.39 , $36.72 ,2021
EXFORGE 5MG/160MG 28TAB,28, $9.11 , $22.77 , $30.62 , $35.83 ,2021
EXFORGE 5MG/80MG 28TAB,28, $8.08 , $20.19 , $27.16 , $31.78 ,2021
EXJADE 125MG 28 DISPERS TAB,28, $86.05 , $215.13 , $252.78 , $295.75 ,2021
EXJADE 250MG 28 DISPERS TAB,28, $184.90 , $462.26 , $543.15 , $635.49 ,2021
EXJADE 500MG 28 DISPERS TAB,28, $332.19 , $830.47 , $913.52 ," $1,068.81 ",2021
EYLEA 40MG/ML VIAL,1, $324.14 , $810.34 , $891.37 ," $1,042.90 ",2021
EZECOR 10MG 30TAB,30, $18.42 , $46.06 , $57.57 , $67.36 ,2021
EZETIMIBE SANDOZ 10 MG 30 TAB,30, $18.42 , $46.06 , $57.57 , $67.36 ,2021
EZETIMIBE TEVA 10 MG 30 TAB,30, $18.42 , $46.06 , $57.57 , $67.36 ,2021
EZETROL 10MG 30TAB,30, $18.42 , $46.06 , $57.57 , $67.36 ,2021
FABRAZYME 35MG/VIAL,1," $1,231.80 "," $3,079.51 "," $3,387.46 "," $3,963.33 ",2021
FAMOTIDINE-T 40MG30TAB,30, $3.76 , $9.40 , $12.88 , $15.06 ,2021
FAMPYRA 10MG 56 P.R.TAB,56, $72.20 , $180.50 , $212.09 , $248.15 ,2021
FASENRA 30MG/ML1 PREFILLED SYR,1, $950.37 ," $2,375.92 "," $2,613.51 "," $3,057.81 ",2021
FASLODEX 250MG/5ML 2 PREFILLED SYR,2, $143.80 , $359.51 , $422.42 , $494.23 ,2021
FAVOXIL 100MG 30TAB,30, $4.18 , $10.45 , $14.32 , $16.75 ,2021
FAVOXIL 50MG 60TAB,60, $4.61 , $11.54 , $15.80 , $18.49 ,2021
FEBURIC 80 MG 28 F.C.TAB,28, $9.47 , $23.68 , $31.85 , $37.27 ,2021
FEIBA NF 1000 IU/VIAL,1, $344.83 , $862.08 , $948.29 ," $1,109.50 ",2021
FEIBA NF 500IU/VIAL 50ML,1, $197.37 , $493.43 , $579.78 , $678.34 ,2021
FEMARA 2.5MG 30TAB,30, $19.34 , $48.34 , $60.42 , $70.69 ,2021
FEMINET 1X21TAB,21, $1.45 , $3.62 , $4.96 , $5.80 ,2021
FEMINET 3X21TAB,63, $4.34 , $10.85 , $14.87 , $17.40 ,2021
FEMINET 4X21TAB,84, $5.79 , $14.47 , $19.46 , $22.77 ,2021
FEMOSTON 1/10 MG 28 tab,28, $4.81 , $12.02 , $16.17 , $18.92 ,2021
FEMOSTON CONTI 0.5 MG/2.5 MG 28 TAB,28, $4.45 , $11.12 , $15.24 , $17.83 ,2021
FEMOSTON CONTI 1 MG/5 MG 28 TAB,28, $4.38 , $10.95 , $15.01 , $17.56 ,2021
FENISTIL DROPS 20ML,20, $1.51 , $3.78 , $5.17 , $6.05 ,2021
FENTA 100 5 PATCH,5, $21.02 , $52.55 , $65.68 , $76.85 ,2021
FENTA 12MCG/HOUR 5PATCHES,5, $4.32 , $10.81 , $14.81 , $17.32 ,2021
FENTA 25 5 PATCH,5, $6.38 , $15.95 , $21.45 , $25.10 ,2021
FENTA 50 5 PATCH,5, $12.18 , $30.45 , $38.06 , $44.53 ,2021
FENTA 75 5 PATCH,5, $17.81 , $44.51 , $55.64 , $65.10 ,2021
FENTA INJECTION 0.05MG/ML 50X2ML,50, $9.01 , $22.54 , $30.31 , $35.47 ,2021
FENTA SL  133MCG   30 SUBLINGUAL TAB,30, $87.72 , $219.31 , $257.69 , $301.49 ,2021
FENTA SL 267MCG    30SUBLINGUAL TABLETS,30, $87.72 , $219.31 , $257.69 , $301.49 ,2021
FENTA SL 400MCG   30 SUBLINGUAL TABLETS,30, $92.33 , $230.83 , $271.22 , $317.33 ,2021
FENTA SL 533MCG   30SUBLINGUAL TAB,30, $87.72 , $219.31 , $257.69 , $301.49 ,2021
FENTA SL 67MCG  30TAB,30, $77.52 , $193.81 , $227.73 , $266.44 ,2021
FENTA SL 800MCG     30SL TAB,30, $108.65 , $271.62 , $319.16 , $373.41 ,2021
FENTADOL 100 5 PATCHES,5, $21.02 , $52.55 , $65.68 , $76.85 ,2021
FENTADOL 12 5 PATCHES,5, $4.32 , $10.81 , $14.81 , $17.32 ,2021
FENTADOL 25 5 PATCHES,5, $6.38 , $15.95 , $21.45 , $25.10 ,2021
FENTADOL 50 5 PATCHES,5, $12.18 , $30.45 , $38.06 , $44.53 ,2021
FENTADOL 75 5 PATCHES,5, $17.81 , $44.51 , $55.64 , $65.10 ,2021
FENTANYL PANPHARMA 0.05 MG/ML 10 VIAL 2ML,10, $1.80 , $4.51 , $6.18 , $7.23 ,2021
FENTANYL PANPHARMA 0.05 MG/ML(500mcg/10ML) 10VIAL,10, $3.66 , $9.15 , $12.53 , $14.66 ,2021
FENTORA 100MCG 28 BUCCAL TAB,28, $45.48 , $113.70 , $133.59 , $156.30 ,2021
FENTORA 400MCG 28 BUCCAL TAB,28, $66.36 , $165.89 , $194.92 , $228.05 ,2021
FENTORA 600MCG 28 BUCCAL TAB,28, $66.64 , $166.60 , $195.76 , $229.04 ,2021
FENTORA 800MCG 28 BUCCAL TAB,28, $66.64 , $166.60 , $195.76 , $229.04 ,2021
FERINJECT 500MG/10ML SOL FOR INJ/INF,1, $52.49 , $131.24 , $154.20 , $180.42 ,2021
FERRIPROX 1000 MG 50 TAB,50, $96.28 , $240.69 , $282.81 , $330.89 ,2021
FERRIPROX 500MG 100TAB,100, $79.72 , $199.29 , $234.17 , $273.98 ,2021
FERRIPROX ORAL SOLUTION 100MG/ML 500ML,500, $84.88 , $212.19 , $249.33 , $291.71 ,2021
FERRLECIT 62.5MG/5ML 1AMP/5ML 5 amp,5, $4.47 , $11.17 , $15.30 , $17.91 ,2021
FERROVIN 20MG/ML AMP 5X5ML,5, $30.56 , $76.41 , $89.78 , $105.04 ,2021
FEXOFENADINE - TRIMA 120 MG 15 TAB,15, $0.92 , $2.31 , $3.17 , $3.70 ,2021
FEXOFENADINE - TRIMA 180 MG 15 TAB,15, $1.31 , $3.27 , $4.48 , $5.25 ,2021
FIBROGAMMIN P 250,1, $64.64 , $161.59 , $189.87 , $222.15 ,2021
FINASTERIDE TEVA 1MG 100TAB,100, $41.63 , $104.07 , $122.28 , $143.07 ,2021
FINASTERIDE TEVA 1MG 30TAB,30, $12.49 , $31.22 , $39.03 , $45.66 ,2021
FINGOLIMOD TEVA 0.5MG 30 CAPS,30, $919.31 ," $2,298.28 "," $2,528.11 "," $2,957.89 ",2021
FINOLIM 0.5 MG 28 CAPS,28, $858.02 ," $2,145.06 "," $2,359.57 "," $2,760.69 ",2021
FIRAZYR 30MG/3ML PREFIL. SYR.,1, $716.13 ," $1,790.33 "," $1,969.37 "," $2,304.16 ",2021
FIRDAPSE 10MG 100TAB,100, $971.27 ," $2,428.17 "," $2,670.98 "," $3,125.05 ",2021
FIRMAGON 120MG 2VIALS POWDER + 2VIALS SOLV.,2, $99.68 , $249.20 , $292.81 , $342.58 ,2021
FIRMAGON 80MG 1VIAL POWDER + 1VIAL SOLV.,1, $54.76 , $136.90 , $160.86 , $188.20 ,2021
FLAGYL 250MG 20TAB,20, $1.07 , $2.68 , $3.67 , $4.29 ,2021
FLAGYL SUSP 4% 120ML,120, $4.92 , $12.29 , $16.53 , $19.34 ,2021
FLAME 21TAB,21, $1.77 , $4.42 , $6.05 , $7.08 ,2021
FLAME 3X21TAB,63, $5.30 , $13.25 , $17.82 , $20.85 ,2021
FLEBOGAMMA 5% 100ML VIAL,100, $148.52 , $371.30 , $436.28 , $510.44 ,2021
FLEBOGAMMA 5% 10ML VIAL,10, $14.85 , $37.13 , $46.41 , $54.30 ,2021
FLEBOGAMMA 5% 200ML VIAL,200, $297.04 , $742.60 , $816.86 , $955.72 ,2021
FLEBOGAMMA 5% 50ML VIAL,50, $74.26 , $185.65 , $218.14 , $255.22 ,2021
FLIXOTIDE DISK 100MCG 60DOSES,60, $2.68 , $6.70 , $9.18 , $10.74 ,2021
FLIXOTIDE DISK 250MCG 60DOSES,60, $5.40 , $13.51 , $18.17 , $21.26 ,2021
FLIXOTIDE DISK 500MCG 60DOSES,60, $10.69 , $26.72 , $35.93 , $42.04 ,2021
FLIXOTIDE DISK 50MCG 60DOSES,60, $2.34 , $5.84 , $8.00 , $9.37 ,2021
FLIXOTIDE INH CFC FREE 125MCG 120DOSES,120, $10.17 , $25.44 , $34.21 , $40.03 ,2021
FLIXOTIDE INH CFC FREE 250MCG 120DOSES,120, $10.69 , $26.72 , $35.94 , $42.06 ,2021
FLIXOTIDE INH CFC FREE 50MCG 120DOSES,120, $3.74 , $9.34 , $12.79 , $14.97 ,2021
FLIXOTIDE NEBULES 0.5MG/2ML 10AMP,10, $5.89 , $14.73 , $19.82 , $23.18 ,2021
FLIXOTIDE NEBULES 2MG/2ML 10AMP (20ml),10, $14.11 , $35.27 , $44.09 , $51.59 ,2021
FLOLAN INFUSION OF EPOPROSTENOL 1500 MCG DIL-PH12,1, $23.93 , $59.83 , $74.78 , $87.49 ,2021
FLOLAN INFUSION OF EPOPROSTENOL 500 MCG VIAL DIL PH12,1, $20.13 , $50.33 , $62.91 , $73.61 ,2021
FLORET 21TAB,21, $1.73 , $4.33 , $5.93 , $6.94 ,2021
FLORET 3X21TAB,63, $5.19 , $12.99 , $17.47 , $20.44 ,2021
FLUARIX TETRA SYRINGE 10X0.5ML,10, $54.47 , $136.18 , $160.01 , $187.21 ,2021
FLUARIX TETRA SYRINGE 1X0.5ML,1, $5.45 , $13.62 , $18.32 , $21.43 ,2021
FLUCANOL 100MG 7CAPSULES,7, $8.35 , $20.87 , $28.08 , $32.85 ,2021
FLUCANOL 150MG 1 CAPSULE,1, $1.66 , $4.15 , $5.69 , $6.66 ,2021
FLUCANOL 200MG 7CAPSULES,7, $11.95 , $29.87 , $37.34 , $43.68 ,2021
FLUCANOL 50MG 7CAPSULES,7, $3.79 , $9.48 , $12.99 , $15.20 ,2021
FLUCONAZOL 2MG/ML 1VIAL/100ML,100, $5.40 , $13.50 , $18.16 , $21.25 ,2021
